pmid
10529083
12385977
15548751
15564300
15687296
15758203
15857510
16049194
16293191
16343337
16954142
17081289
17277416
17454975
17562474
18199023
18275003
18307793
18366787
18574861
18974170
19176548
19239711
19422679
19439514
19535537
19750212
19833741
19958512
19964065
20221262
20377449
20529929
20550700
20834037
20840736
20958248
21447171
21569267
21599912
21636596
21672185
21677664
21867511
21934137
21989196
22168258
22191534
22212352
22229028
22369143
22537038
22537045
22559072
22689772
22759429
22962447
23140486
23202746
23246109
23327936
23393031
23441908
23469172
23565205
23837734
23872968
23966565
24098642
24131054
24261665
24314298
24466273
24564250
24565220
24626854
24885381
24955109
25161220
25212598
25407910
25473744
25572610
25963975
25995232
26448206

